M4A1 消音型 | 毁灭者 2000 (久经沙场):0.07000000000000003:60.99:57:0
USP 消音版 | 不锈钢 (久经沙场):0.15723830734966598:25.98:22.45:0
沙漠之鹰 | 机械工业 (久经沙场):0.10703703703703706:29.89:27:0
AK-47 | 幻影破坏者 (久经沙场):0.19966666666666674:35.99:30:0
USP 消音版 | 倒吊人 (久经沙场):0.13693796243597042:99.88:87.85:0
MAC-10 | 霓虹骑士 (崭新出厂):0.0625:68:64:0
音乐盒 | Austin Wintory - 巴克拉姆:0.16277777777777777:20.93:18:0
SSG 08 | 炎龙之焰 (崭新出厂):0.0676854148331866:133.45:124.99:0
沙漠之鹰 | 午夜风暴 (略有磨损):0.10442477876106192:124.8:113:0
AK-47 | 二西莫夫 (久经沙场):0.1935483870967742:185:155:0
MP9 | 星使 (久经沙场):0.07249999999999997:42.9:40:0
AUG | 璞玉 (崭新出厂):0.16552631578947366:44.29:38:0
M4A4 | 齿仙 (久经沙场):0.08433734939759042:27:24.9:0
AK-47 | 卡特尔 (久经沙场):0.10861111111111102:39.91:36:0
CZ75 | 黄夹克 (久经沙场):0.119718309859155:31.8:28.4:0
沙漠之鹰 | 阴谋者 (崭新出厂):0.12183908045977004:48.8:43.5:0
引爆器音乐盒集:0.14467408585055647:36:31.45:0
M4A4 | 狮鹫 (略有磨损):0.09300095877277091:20.86:22.8:0
AWP | 冥界之河 (崭新出厂):0.15051546391752588:22.32:19.4:0
AK-47 | 混沌点阵 (久经沙场):0.16344262295081965:70.97:61:0
AK-47 | 巴洛克之紫 (久经沙场):0.09291044776119396:29.29:26.8:0
飞贼波兹曼 | 专业人士:0.17647058823529413:60:51:0
AK-47 | 红线 (略有磨损):0.07142857142857142:450:420:0
AWP | 浮生如梦 (久经沙场):0.08590909090909093:47.78:44:0
USP 消音版 | 小绿怪 (略有磨损):0.07576271186440676:126.94:118:0
M4A1 消音型 | 破碎铅秋 (略有磨损):0.06263157894736848:40.38:38:0
AWP | 猫猫狗狗 (略有磨损):0.13333333333333341:22.1:19.5:0
AK-47 | 幻影破坏者 (崭新出厂):0.07217391304347832:73.98:69:0
AK-47 | 绿色层压板 (崭新出厂):0.08064516129032258:67:62:0
M4A4 | 弹雨 (久经沙场):0.07247427163357009:73.99:68.99:0
M4A4 | 皇帝 (久经沙场):0.06953488372093028:91.98:86:0
P250 | 生化短吻鳄 (久经沙场):0.08438818565400844:25.7:23.7:0
M4A4 | 龙王 (略有磨损):0.09452603471295057:81.98:74.9:0
驾驶手套（★） | 美洲豹女王 (久经沙场):0.06086956521739131:610:575:0
SG 553 | 沙漠之花 (久经沙场):0.18438438438438443:39.44:33.3:0
MP7 | 复仇者 (略有磨损):0.10446985446985456:38.48:42.5:0
M4A4 | 死寂空间 (略有磨损):0.061379310344827624:61.56:58:0
AUG | 变色龙 (略有磨损):0.14893617021276595:27:23.5:0
MAC-10 | 霓虹骑士 (略有磨损):0.08422459893048115:48.66:44.88:0
M4A1 消音型 | 破碎铅秋 (崭新出厂):0.0830508474576271:63.9:59:0
USP 消音版 | 猎户 (久经沙场):0.06086956521739131:244:230:0
USP 消音版 | 远古幻想 (崭新出厂):0.07736842105263152:204.7:190:0
