&{22962 AK-47 | 卡特尔 (略有磨损) 48.58}
&{23556 M4A1 消音型 | 金蛇缠绕 (略有磨损) 386.48}
&{5094472 M4A4 | 死寂空间 (崭新出厂) 146.8}
&{553454671 AK-47 | 皇后 (破损不堪) 126.97}
&{553370882 AWP | 浮生如梦 (略有磨损) 55.16}
&{22720 M4A4 | 二西莫夫 (久经沙场) 1006.99}
&{553479799 SG 553 | 意式拉力 (崭新出厂) 725}
&{24435 MAC-10 | 霓虹骑士 (崭新出厂) 66.79}
&{808842805052440576 M4A1 消音型 | 澜磷 (崭新出厂) 1447}
&{915581114509479936 弯刀（★） | 传说 (久经沙场) 1053.5}
&{293264529 截短霰弹枪 | 荒野公主 (久经沙场) 15.84}
&{87680931 鲍伊猎刀（★） | 狩猎网格 (久经沙场) 710}
&{553489623 MAC-10 | 渐变迪斯科 (久经沙场) 20.64}
&{553479647 锯齿爪刀（★） | 都市伪装 (久经沙场) 1628}
&{553491600 XM1014 | 埋葬之影 (久经沙场) 27.28}
&{307565594 M4A4 | 喧嚣杀戮 (略有磨损) 87.2}
&{553465847 USP 消音版 | 脑洞大开 (略有磨损) 23.1}
&{22329 AWP | 蠕虫之神 (略有磨损) 10.53}
&{22478 AWP | 蠕虫之神 (崭新出厂) 17.51}
&{808836999913668608 格洛克 18 型 | 黑色魅影 (久经沙场) 53.78}
&{808830880107069440 格洛克 18 型 | 富兰克林 (崭新出厂) 165.4}
&{1017598944735555584 AWP | 迷人眼 (战痕累累) 114.5}
&{553480462 沙漠之鹰 | 机械工业 (崭新出厂) 50.48}
&{356073405 摩托手套（★） | *嘣！* (久经沙场) 993.5}
&{863696819733565440 M4A4 | 活色生香 (战痕累累) 29.88}
&{914815645727154176 上校曼戈斯·达比西 | 游击队 32.6}
&{22499 AK-47 | 红线 (久经沙场) 89.58}
&{553482694 锯齿爪刀（★） | 外表生锈 (战痕累累) 1978.5}
&{808923832891736064 沙漠之鹰 | 午夜凶匪 (崭新出厂) 45}
&{808787646245371904 “狂牙大行动”武器箱 11.46}
&{553482831 音乐盒 | The Verkkars - EZ4ENCE 33.92}
&{553491715 沙漠之鹰 | 印花集 (战痕累累) 232.8}
&{958584108762898432 AK-47 | 夜愿 (战痕累累) 62.7}
&{958688408930082816 MP9 | 星使 (略有磨损) 90.7}
&{553489720 M4A1 消音型 | 二号玩家 (略有磨损) 272.8}
&{26851 猎杀者匕首（★） | 屠夫 (略有磨损) 1366}
&{334192251 驾驶手套（★） | 菱背蛇纹 (久经沙场) 796.98}
&{808923836867936256 M4A4 | 赛博 (崭新出厂) 267.5}
&{22565 M4A4 | X 射线 (崭新出厂) 109}
&{808857281272217600 M4A1 消音型 | 印花集 (崭新出厂) 1938.99}
&{553479364 折刀（★） | 都市伪装 (久经沙场) 573}
&{958520534819135488 USP 消音版 | 地狱门票 (崭新出厂) 16.3}
&{22934 M4A4 | 龙王 (崭新出厂) 163.18}
&{23513 M9 刺刀（★） | 多普勒 (崭新出厂) 4630}
&{22787 沙漠之鹰 | 炽烈之炎 (崭新出厂) 3269.5}
&{553489879 格洛克 18 型 | 子弹皇后 (崭新出厂) 302.99}
&{26988 格洛克 18 型 | 皇家军团 (略有磨损) 14.04}
&{22599 AK-47 | 蓝色层压板 (久经沙场) 43.69}
&{25410 音乐盒 | New Beat Fund - 海绵手指 28.8}
&{24787 P90 | 二西莫夫 (破损不堪) 43.07}
&{22533 AWP | 电子蜂巢 (崭新出厂) 352.3}
&{553486454 骷髅匕首（★） | 枯焦之色 (战痕累累) 1548.5}
&{22508 AWP | *嘣* (略有磨损) 495.99}
&{863589570276098048 M4A4 | 活色生香 (久经沙场) 40.08}
&{26560 弯刀（★） | 深红之网 (久经沙场) 906.88}
&{553482871 短剑（★） | 大马士革钢 (崭新出厂) 1888}
&{812554119614824448 驾驶手套（★） | 西装革履 (破损不堪) 1119.5}
&{26632 M9 刺刀（★） | 大马士革钢 (略有磨损) 3440}
&{22976 AWP | 石墨黑 (崭新出厂) 1200}
&{1057744074321313792 印花 | 00 Nation（全息）| 2022年里约热内卢锦标赛 48.7}
&{25427 折叠刀（★） | 虎牙 (崭新出厂) 2120.54}
&{914698179947905024 AWP | 复古流行 (略有磨损) 16.67}
&{808864599704862720 AWP | 渐变之色 (崭新出厂) 4799}
