&{Gid:61691 Gname:M4A4 | 合纵 (略有磨损) CnyPrice:427.77}
&{Gid:55085 Gname:运动手套（★） | 猩红头巾 (破损不堪) CnyPrice:1550.00}
&{Gid:45679 Gname:短剑（★） | 狩猎网格 (略有磨损) CnyPrice:988.00}
&{Gid:1024 Gname:M4A4 | 地狱烈焰 (略有磨损) CnyPrice:289.00}
&{Gid:2177 Gname:USP 消音版 | 枪响人亡 (略有磨损) CnyPrice:399.00}
&{Gid:47600 Gname:摩托手套（★） | 小心烟雾弹 (久经沙场) CnyPrice:1316.00}
&{Gid:48620 Gname:专业手套（★） | 陆军少尉长官 (略有磨损) CnyPrice:3098.50}
&{Gid:541 Gname:AWP | 野火 (久经沙场) CnyPrice:314.00}
&{Gid:45099 Gname:AK-47（StatTrak™） | 火神 (久经沙场) CnyPrice:1800.00}
&{Gid:2025 Gname:M9 刺刀（★） | 外表生锈 (战痕累累) CnyPrice:2480.00}
&{Gid:48148 Gname:沙漠之鹰（StatTrak™） | 钴蓝禁锢 (崭新出厂) CnyPrice:525.00}
&{Gid:45026 Gname:摩托手套（★） | 终点线 (久经沙场) CnyPrice:1224.00}
&{Gid:44228 Gname:AWP | 鬼退治 (崭新出厂) CnyPrice:2769.99}
&{Gid:61490 Gname:MP9 | 富士山 (崭新出厂) CnyPrice:35.00}
&{Gid:52757 Gname:系绳匕首（★） | 狩猎网格 (破损不堪) CnyPrice:555.00}
&{Gid:655 Gname:P250 | 生化短吻鳄 (久经沙场) CnyPrice:23.50}
&{Gid:34774 Gname:求生匕首（★） CnyPrice:1225.00}
&{Gid:44035 Gname:M9 刺刀（★） | 森林 DDPAT (久经沙场) CnyPrice:2190.00}
&{Gid:54403 Gname:专业手套（★） | 狩鹿 (略有磨损) CnyPrice:697.90}
&{Gid:297 Gname:蝴蝶刀（★） | 森林 DDPAT (久经沙场) CnyPrice:3360.00}
&{Gid:44723 Gname:AUG | 汪之萌杀 (崭新出厂) CnyPrice:53.00}
&{Gid:61559 Gname:沙漠之鹰 | 纵横波涛 (久经沙场) CnyPrice:110.00}
&{Gid:1916 Gname:M4A1 消音型 | 女火神之炽焰 (久经沙场) CnyPrice:124.90}
&{Gid:101126 Gname:沙漠之鹰（纪念品） | 沙漠之狐 (久经沙场) CnyPrice:1000.00}
&{Gid:101857 Gname:印花 | Vitality（全息）| 2022年安特卫普锦标赛 CnyPrice:13.19}
&{Gid:44277 Gname:格洛克 18 型 | 核子花园 (久经沙场) CnyPrice:24.00}
&{Gid:49482 Gname:裹手（★） | 蟒蛇 (久经沙场) CnyPrice:419.00}
&{Gid:894 Gname:沙漠之鹰 | 红色代号 (略有磨损) CnyPrice:212.50}
&{Gid:51790 Gname:短剑（★） | 大马士革钢 (崭新出厂) CnyPrice:1850.00}
&{Gid:604 Gname:骷髅匕首（★） | 枯焦之色 (战痕累累) CnyPrice:1509.00}
&{Gid:61993 Gname:猎杀者匕首（★） | 传说 (久经沙场) CnyPrice:1256.00}
&{Gid:46298 Gname:M4A1 消音型 | 印花集 (崭新出厂) CnyPrice:1940.00}
&{Gid:1567 Gname:AK-47 | 二西莫夫 (久经沙场) CnyPrice:155.00}
&{Gid:103158 Gname:Revolution Case CnyPrice:60.00}
&{Gid:44357 Gname:SSG 08（StatTrak™） | 裂痕 (战痕累累) CnyPrice:15.00}
&{Gid:47770 Gname:短剑（★） | 大马士革钢 (略有磨损) CnyPrice:1720.00}
&{Gid:1478 Gname:M4A4 | 龙王 (久经沙场) CnyPrice:38.00}
&{Gid:1644 Gname:沙漠之鹰 | 印花集 (久经沙场) CnyPrice:282.00}
&{Gid:55606 Gname:刺刀（★ StatTrak™） | 自动化 (久经沙场) CnyPrice:2745.00}
&{Gid:101449 Gname:双持贝瑞塔 | 瓜瓜 (略有磨损) CnyPrice:25.50}
&{Gid:43530 Gname:裹手（★） | 套印 (久经沙场) CnyPrice:1660.00}
&{Gid:43809 Gname:AWP | 电子蜂巢 (略有磨损) CnyPrice:244.88}
